area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
newyork,2021-11-30 11:53, (Midtown West),"Big,Sunny apart 1 bedrm in real 2 bedr all util included!!",2,,https://newyork.craigslist.org/mnh/roo/d/new-york-bigsunny-apart-bedrm-in-real/7414561956.html,1195,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:52, (Inwood / Wash Hts),3 Bedroom Apartment Share-Steps From 1/A/C Trains,,,https://newyork.craigslist.org/mnh/roo/d/new-york-bedroom-apartment-share-steps/7403043667.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:51, (Upper West Side),Sweet Sofa Bed with all utilities NO DEPOSIT NO LEASE,,,https://newyork.craigslist.org/mnh/roo/d/bronx-sweet-sofa-bed-with-all-utilities/7414560685.html,950,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:48," (Stamford fairfield co, CT )","Room in downtown Stamford, CT. available at a great value",,,https://newyork.craigslist.org/fct/roo/d/stamford-room-in-downtown-stamford-ct/7414559119.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:47, (rockaway queens ),large room,,,https://newyork.craigslist.org/que/roo/d/arverne-large-room/7414558772.html,715,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:44, (Inwood / Wash Hts),Room for rent  January 1 or 2,,,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-january-or/7414556886.html,780,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:43, (East Village),EAST VILLAGE PRIVATE ROOM WITH ELEVATOR,,,https://newyork.craigslist.org/mnh/roo/d/east-village-private-room-with-elevator/7414551005.html,1350,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:37, (Bedford Stuyvesant brooklyn ),!!MOVE IN READY!! PRIVATE BATH!! PET FRIENDLY!!,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-move-in-ready-private-bath-pet/7414539826.html,950,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:35, (Manalapan Freehold Hamiliton Monroe Jackson Robbinsville are new jersey ),~~ LAKEFRONT~~ RELAXING UNIQUE LARGE SAVE Room Not a party house,1,,https://newyork.craigslist.org/jsy/roo/d/roosevelt-lakefront-relaxing-unique/7414551472.html,994,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:33, (Bushwick brooklyn ),!!Dog Friendly!! Move IN READY!! Central AC/Heat!!,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-dog-friendly-move-in-ready/7414546913.html,850,2021-11-30 21:23:09+0000
