index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price
102,chicago,2021-11-08 08:59, (Berwyn west chicagoland ),Garden Apt for Rent in Berwyn,1,950.0,https://chicago.craigslist.org/wcl/roo/d/oak-park-garden-apt-for-rent-in-berwyn/7393597592.html,950
103,chicago,2021-11-08 08:54, (Elgin northwest suburbs ),Apartment Alternative 1br Studio Woodspring Suites Elgin. 1st Nt Free!,1,,https://chicago.craigslist.org/nwc/roo/d/elgin-apartment-alternative-1br-studio/7405091827.html,1099
104,chicago,2021-11-08 08:39, (downtown south loop by IIT city of chicago ),Furnished 1 bedroom in townhouse for female (utilities included),1,600.0,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-bedroom-in-townhouse/7395706713.html,585
105,chicago,2021-11-08 08:39, (Near downtown south loop city of chicago ),Furnished One bedroom in 5 BRs apt in IIT campus (utilities included),5,1500.0,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-one-bedroom-in-brs/7396350701.html,590
106,chicago,2021-11-08 08:35, (Rogers Park at Loyola University campus by lake city of chicago ),Furnished one bedroom for female roommate (rent covers all utilities),5,200.0,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-one-bedroom-for/7403409228.html,585
107,chicago,2021-11-08 08:20, (Bucktown city of chicago ),$975  Temporary Bedroom & Studio furnished,1,500.0,https://chicago.craigslist.org/chc/roo/d/chicago-975-temporary-bedroom-studio/7395715193.html,975
108,chicago,2021-11-08 08:20, (Chicago - Bucktown city of chicago ),Large King Bed Furnished Bedroom & office area,,198.0,https://chicago.craigslist.org/chc/roo/d/chicago-large-king-bed-furnished/7392517228.html,750
109,chicago,2021-11-08 08:19, (Rogers Park / West Ridge city of chicago ),Room for rent. Bedroom in 3 bed condo near Devon/Western ave Chicago .,3,1540.0,https://chicago.craigslist.org/chc/roo/d/chicago-room-for-rent-bedroom-in-bed/7405069234.html,475
110,chicago,2021-11-08 08:02, (Joliet west chicagoland ),Very nice Room available in nice house!,8,300.0,https://chicago.craigslist.org/wcl/roo/d/joliet-very-nice-room-available-in-nice/7401942080.html,685
111,chicago,2021-11-08 07:51, (Romeoville west chicagoland ),Furnished Studio,,,https://chicago.craigslist.org/wcl/roo/d/bolingbrook-furnished-studio/7405060280.html,2100
